dart0, 422, 0, 202, 226
dart1, 160, 100,262,254
dart2, 90, 85,117,114
dart3, 313,137,85,93
dart4, 153,61,251,259
dart5, 418, 123, 125, 130
dart6, 202, 106, 80, 83
dart7, 231, 150, 186, 188
dart8, 827, 202, 148,156
dart8, 59, 241, 77, 113
dart9, 166, 13, 315, 309
dart10, 74, 89, 122, 142
dart10, 576, 116, 69, 109
dart10, 913, 143, 40, 82
dart11, 161, 93, 80, 93
dart11, 432, 105, 59, 84
dart11, 212, 251, 23, 27
dart12, 150, 57, 76, 180
dart13, 253, 99, 172, 177
dart14, 101, 83, 162, 163
dart14, 968, 75, 163, 165
dart15, 126, 33, 177, 184
